date,year,type,country,activity,sex,age,injury,fatal,time
Oct,2009,Provoked,UNITED KINGDOM,Fishing,M,39,Injury to forearm from shark's spine PROVOKED INCIDENT ,No Fatal,Afternoon
Sep,2009,Unprovoked,USA,Swimming,M,0,Laceration to right foot,No Fatal,Afternoon
Sep,2009,Unprovoked,USA,Swimming,M,60,FATAL,Fatal,Evening
Sep,2009,Unprovoked,BRAZIL,Swimming,M,15,FATAL,Fatal,Afternoon
Aug,2009,Unprovoked,USA,Surfing,M,0,No injury,No Fatal,Evening
Aug,2009,Unprovoked,SOUTH AFRICA,Surfing,M,25,FATAL,Fatal,Afternoon
Aug,2009,Unprovoked,USA,Swimming,F,22,Puncture wounds to left foot & calf,No Fatal,Afternoon
Aug,2009,Unprovoked,SOUTH AFRICA,Others,M,0,"No injury, shark bit bodyboard",No Fatal,Evening
Aug,2009,Unprovoked,USA,Swimming,M,26,Puncture marks on left foot,No Fatal,Evening
Aug,2009,Unprovoked,USA,Surfing,M,0,"No injury, surfboard bitten",No Fatal,Morning
Aug,2009,Unprovoked,USA,Fishing,M,56,Right ankle & foot bitten,No Fatal,Morning
Jul,2009,Unprovoked,AUSTRALIA,Surfing,M,14,Left forearm grazed & puncture marks in wetsuit,No Fatal,Evening
Jul,2009,Unprovoked,unknown,Swimming,F,41,Foot bitten,No Fatal,Afternoon
Jul,2009,Unprovoked,USA,Others,F,14,Lacerations to anterior left lower leg,No Fatal,Afternoon
Jul,2009,Unprovoked,SPAIN,Swimming,F,11,Laceration to left foot,No Fatal,Morning
Jul,2009,Unprovoked,USA,Swimming,F,26,Laceration to left foot,No Fatal,Afternoon
Jul,2009,Unprovoked,USA,Swimming,F,19,Laceration to lower right leg,No Fatal,Afternoon
Jul,2009,Unprovoked,USA,Others,M,0,"No injury, shark collided with surfer & board",No Fatal,Morning
Jul,2009,Unprovoked,SOUTH AFRICA,Surfing,M,37,Leg bitten,No Fatal,Morning
Jul,2009,Unprovoked,USA,Others,F,12,Right ankle bitten,No Fatal,Afternoon
Jul,2009,Provoked,USA,Swimming,F,43,Thigh injured by hooked shark PROVOKED INCIDENT,No Fatal,Evening
Jun,2009,Unprovoked,AUSTRALIA,Surfing,M,52,2-inch laceration to upper left arm,No Fatal,Morning
Jun,2009,Unprovoked,USA,Others,M,14,2-inch laceration to upper left arm,No Fatal,Afternoon
Jun,2009,Unprovoked,EGYPT,Others,F,50,FATAL,Fatal,Morning
Apr,2009,Unprovoked,USA,Surfing,M,20,3 puncture wounds to posterior right ankle,No Fatal,Afternoon
Apr,2009,Unprovoked,PHILIPPINES,Swimming,M,23,Legs bitten,No Fatal,Evening
Apr,2009,Unprovoked,USA,Surfing,M,52,Left foot bitten,No Fatal,Afternoon
Apr,2009,Unprovoked,USA,Surfing,M,31,Laceration to forearm,No Fatal,Afternoon
Apr,2009,Unprovoked,AUSTRALIA,Others,M,40,"No injury, catapulted into the water & ski damage",No Fatal,Morning
Apr,2009,Unprovoked,SOUTH AFRICA,Swimming,M,24,Body not recovered,No Fatal,Morning
Apr,2009,Unprovoked,USA,Spearfishing,M,0,Shark struck him but the diver was not injured,No Fatal,Morning
Apr,2009,Unprovoked,USA,Others,M,15,Lacerations to right foot and ankle,No Fatal,Afternoon
Feb,2009,Unprovoked,AUSTRALIA,Surfing,M,33,Severe injury to hand ,No Fatal,Evening
Feb,2009,Unprovoked,AUSTRALIA,Diving,M,31,Severe injuries to right hand & right thigh. Right hand  surgically amputated & his right leg a week later,No Fatal,Morning
Feb,2009,Unprovoked,AUSTRALIA,Surfing,M,41,"No injury, surfboard dented",No Fatal,Morning
Jan,2009,Unprovoked,CUBA,Spearfishing,M,15,Severe lacerations to lower left leg,No Fatal,Morning
Jan,2009,Unprovoked,AUSTRALIA,Swimming,M,19,Hand injured,No Fatal,Afternoon
Jan,2009,Unprovoked,SOUTH AFRICA,Swimming,M,25,FATAL,Fatal,Afternoon
Jan,2009,Unprovoked,AUSTRALIA,Fishing,M,0,"No injury to occupants, shark bit propeller",No Fatal,Morning
Jan,2009,Unprovoked,AUSTRALIA,Others,M,24,Puncture wounds to right calf,No Fatal,Morning
Jan,2009,Unprovoked,AUSTRALIA,Surfing,F,13,Severe lacerations to right leg,No Fatal,Afternoon
Jan,2009,Unprovoked,AUSTRALIA,Surfing,M,31,Left thigh severely bitten,No Fatal,Morning
Jan,2009,Unprovoked,NEW ZEALAND,Swimming,M,49,Posterior thigh bitten,No Fatal,Afternoon
Dec,2008,Unprovoked,AUSTRALIA,Others,M,29,"No injury, shark struck kayak, catapulting him into the water",No Fatal,Morning
Dec,2008,Unprovoked,AUSTRALIA,Others,M,51,FATAL,Fatal,Morning
Dec,2008,Unprovoked,USA,Others,M,0,"No injury, shark struck paddle",No Fatal,Afternoon
Dec,2008,Provoked,SOUTH AFRICA,Fishing,M,15,"Lacerations to knees, thigh and hip by hooked shark PROVOKED iNCIDENT  ",No Fatal,Evening
Nov,2008,Unprovoked,EGYPT,Others,F,0,Lacerations to fingers,No Fatal,Morning
Nov,2008,Unprovoked,PHILIPPINES,Fishing,M,39,Torso & righ arm bitten FATAL,Fatal,Morning
Oct,2008,Provoked,AUSTRALIA,Others,M,34,Small laceration to head from captive shark,No Fatal,Afternoon
Oct,2008,Unprovoked,NEW CALEDONIA,Spearfishing,M,24,Legs bitten,No Fatal,Morning
Oct,2008,Provoked,AUSTRALIA,Fishing,M,50,Right leg injured by hook and hooked shark PROVOKED INCIDENT,No Fatal,Evening
Oct,2008,Unprovoked,AUSTRALIA,Surfing,M,15,"No injury, board damaged",No Fatal,Afternoon
Oct,2008,Unprovoked,USA,Fishing,M,11,Lacerations,No Fatal,Afternoon
Oct,2008,Unprovoked,CROATIA,Spearfishing,M,43,Calf bitten,No Fatal,Afternoon
Sep,2008,Unprovoked,USA,Surfing,M,44,Small puncture wounds to the heel of left foot,No Fatal,Morning
Sep,2008,Unprovoked,USA,Surfing,M,40,Right foot bitten,No Fatal,Morning
Sep,2008,Provoked,AUSTRALIA,Swimming,M,43,Right hand lacerated by netted shark PROVOKED INCIDENT,No Fatal,Afternoon
Sep,2008,Unprovoked,USA,Swimming,M,32,Lacerations to foot,No Fatal,Afternoon
Sep,2008,Unprovoked,USA,Surfing,M,40,Bitten on right thigh & calf,No Fatal,Afternoon
Sep,2008,Unprovoked,USA,Surfing,M,0,"No injury to surfer, board bitten",No Fatal,Morning
Sep,2008,Unprovoked,AUSTRALIA,Surfing,M,51,Shark became tangled in his surfboard leash. The surfer was not injured,No Fatal,Afternoon
Sep,2008,Unprovoked,USA,Surfing,M,43,Minor injury to foot,No Fatal,Afternoon
Sep,2008,Unprovoked,USA,Surfing,M,15,Minor injury to foot,No Fatal,Afternoon
Sep,2008,Unprovoked,USA,Surfing,M,52,Shark bumped right ankle,No Fatal,Morning
Aug,2008,Unprovoked,USA,Swimming,M,27,Death was probably due to drowning,No Fatal,Evening
Aug,2008,Provoked,unknown,Fishing,M,52,Wrist bitten by hooked shark PROVOKED INCIDENT,No Fatal,Evening
Aug,2008,Unprovoked,USA,Surfing,M,19,Superfical cut to left ankle,No Fatal,Afternoon
Aug,2008,Unprovoked,USA,Surfing,M,26,Lacerations to lower left leg,No Fatal,Morning
Aug,2008,Unprovoked,USA,Swimming,M,20,Minor injury to left foot,No Fatal,Afternoon
Aug,2008,Unprovoked,USA,Surfing,F,20,Calf bitten,No Fatal,Evening
Aug,2008,Unprovoked,USA,Swimming,M,47,3 lacerations to forearm,No Fatal,Afternoon
Aug,2008,Unprovoked,USA,Others,F,38,Severe lacerations to left foot,No Fatal,Evening
Aug,2008,Unprovoked,USA,Others,F,13,Puncture wounds & 3-inch laceration to right calf,No Fatal,Afternoon
Aug,2008,Unprovoked,USA,Diving,M,0,"No injury, shark grabbed his bag of fish",No Fatal,Afternoon
Jul,2008,Unprovoked,AUSTRALIA,Surfing,M,31,"No injury, surfboard leash severed",No Fatal,Morning
Jul,2008,Unprovoked,PANAMA,Swimming,M,0,5 lacerations to left foot,No Fatal,Evening
Jul,2008,Unprovoked,MEXICO,Swimming,M,33,3 puncture wounds to toe,No Fatal,Evening
Jul,2008,Unprovoked,USA,Swimming,M,0,Minor injury,No Fatal,Afternoon
Jul,2008,Unprovoked,USA,Surfing,M,17,Right foot bitten,No Fatal,Morning
Jul,2008,Unprovoked,USA,Others,F,44,Forearm bitten ,No Fatal,Morning
Jul,2008,Unprovoked,USA,Others,M,0,Minor lacerations to  toe,No Fatal,Evening
Jul,2008,Unprovoked,USA,Others,F,0,Lacerations to dorsum of right foot ,No Fatal,Afternoon
Jul,2008,Provoked,USA,Surfing,M,15,Foot bitten after he stepped on the shark PROVOKED INCIDENT,No Fatal,Afternoon
Jul,2008,Unprovoked,USA,Others,M,16,Lacerations to lower left leg,No Fatal,Afternoon
Jul,2008,Unprovoked,USA,Surfing,M,24,Laceration to foream,No Fatal,Afternoon
Jul,2008,Unprovoked,USA,Swimming,F,14,Lacerations to  right foot,No Fatal,Evening
Jun,2008,Unprovoked,USA,Others,M,53,Probable drowning with post-mortem bites,No Fatal,Afternoon
Jun,2008,Unprovoked,BAHAMAS,Spearfishing,M,42,Lacerations to calf,No Fatal,Morning
Jun,2008,Unprovoked,SOUTH AFRICA,Others,M,46,"No injury, ski bitten",No Fatal,Afternoon
Jun,2008,Unprovoked,USA,Surfing,M,29,Minor laceration to foot,No Fatal,Afternoon
Jun,2008,Unprovoked,USA,Swimming,M,37,Lacerations to hand,No Fatal,Morning
Jun,2008,Unprovoked,USA,Others,F,40," No injury. Shark bumped kayak, flinging her into the  water. ",No Fatal,Morning
Jun,2008,Unprovoked,USA,Others,F,35,Lacerations to lower right calf,No Fatal,Morning
Jun,2008,Unprovoked,USA,Others,F,15,Foot bitten,No Fatal,Evening
Jun,2008,Unprovoked,BRAZIL,Swimming,M,14,"Hand severed, buttocks bitten",No Fatal,Afternoon
Apr,2008,Unprovoked,MEXICO,Surfing,M,24,FATAL    Severe bite to right thigh,Fatal,Afternoon
Apr,2008,Unprovoked,USA,Surfing,M,18,3-inch laceration to dorsal surface of left foot,No Fatal,Morning
Apr,2008,Unprovoked,USA,Surfing,M,24,Calf bitten,No Fatal,Morning
Apr,2008,Unprovoked,NEW CALEDONIA,Swimming,M,32,Lacerations to left foot,No Fatal,Morning
Apr,2008,Provoked,USA,Surfing,M,21,Puncture wounds to right foot                  PROVOKED INCIDENT,No Fatal,Morning
Apr,2008,Unprovoked,USA,Swimming,M,66,FATAL,Fatal,Morning
Apr,2008,Unprovoked,USA,Surfing,M,14,Cuts & punctures to right foot,No Fatal,Morning
Apr,2008,Unprovoked,MEXICO,Swimming,M,32,Probable drowning with post-mortem bites,No Fatal,Evening
Apr,2008,Unprovoked,AUSTRALIA,Surfing,M,19,2 puncture wounds to leg,No Fatal,Morning
Apr,2008,Unprovoked,USA,Surfing,M,30,Puncture wounds to right foot,No Fatal,Afternoon
Apr,2008,Unprovoked,AUSTRALIA,Others,M,16,FATAL,Fatal,Morning
Apr,2008,Unprovoked,USA,Others,M,18,Right foot & ankle bitten,No Fatal,Afternoon
Feb,2008,Unprovoked,BAHAMAS,Diving,M,49,"Leg bitten, FATAL",Fatal,Morning
Feb,2008,Unprovoked,USA,Surfing,M,25,Lacerations to foot,No Fatal,Afternoon
Feb,2008,Unprovoked,AUSTRALIA,Surfing,F,14,Abrasions to elbow; collided with shark,No Fatal,Evening
Jan,2008,Unprovoked,SOUTH AFRICA,Others,M,42,"No injury to surf-skiier, shark holed ski",No Fatal,Evening
Jan,2008,Provoked,AUSTRALIA,Others,M,20,Laceration to left knee PROVOKED INCIDENT,No Fatal,Morning
Jan,2008,Unprovoked,USA,Surfing,M,20,Left foot bitten,No Fatal,Evening
Dec,2007,Unprovoked,ECUADOR,Surfing,M,24,Lacerations & puncture wounds  to left thigh,No Fatal,Evening
Dec,2007,Unprovoked,AUSTRALIA,Surfing,M,31,Severe lacerations to right buttock,No Fatal,Morning
Dec,2007,Unprovoked,AUSTRALIA,Swimming,M,0,Lacerations to hand,No Fatal,Evening
Dec,2007,Unprovoked,AUSTRALIA,Swimming,M,34,Lacerations to left forearm,No Fatal,Evening
Dec,2007,Unprovoked,USA,Surfing,M,52,"No injury, shark bit surfboard ",No Fatal,Morning
Dec,2007,Unprovoked,BRAZIL,Others,M,28,20 cm injury to left foot,No Fatal,Evening
Nov,2007,Provoked,AUSTRALIA,Fishing,M,32,Minor injury to finger by netted shark PROVOKED INCIDENT,No Fatal,Evening
Nov,2007,Unprovoked,SOUTH AFRICA,Surfing,M,14,Lacerations to feet,No Fatal,Afternoon
Nov,2007,Unprovoked,USA,Surfing,M,21,Cut to right knee,No Fatal,Morning
Nov,2007,Unprovoked,USA,Surfing,M,42,Lacerations to right leg,No Fatal,Morning
Nov,2007,Unprovoked,SOUTH AFRICA,Surfing,M,37,Lacerations to thigh,No Fatal,Morning
Oct,2007,Unprovoked,USA,Others,M,32,Lacerations to left lower leg,No Fatal,Afternoon
Oct,2007,Unprovoked,AUSTRALIA,Others,F,52,small laceration to wrist,No Fatal,Morning
Oct,2007,Unprovoked,AUSTRALIA,Spearfishing,M,31,Laceration to calf,No Fatal,Afternoon
Oct,2007,Unprovoked,USA,Surfing,M,22,4 scratches on left hand,No Fatal,Evening
Oct,2007,Unprovoked,USA,Surfing,M,16,Severe lacerations to right hand,No Fatal,Morning
Sep,2007,Unprovoked,NEW CALEDONIA,Swimming,F,23,FATAL,Fatal,Evening
Sep,2007,Unprovoked,BAHAMAS,Spearfishing,F,48,Thigh bitten,No Fatal,Afternoon
Sep,2007,Unprovoked,USA,Surfing,F,0,"No injury to surfer, surfboard bitten",No Fatal,Morning
Sep,2007,Unprovoked,EGYPT,Swimming,F,18,"Severe lacerations to lower left leg, ankle and foot",No Fatal,Morning
Sep,2007,Unprovoked,USA,Surfing,M,23,Small lacerations to bottom of right big toe,No Fatal,Evening
Sep,2007,Unprovoked,SOLOMON ISLANDS,Spearfishing,M,0,Left thigh bitten,No Fatal,Evening
Sep,2007,Unprovoked,USA,Others,M,56,Laceration to right heel,No Fatal,Morning
Sep,2007,Unprovoked,USA,Surfing,F,0,"No injury, surfboard bitten",No Fatal,Evening
Sep,2007,Unprovoked,USA,Others,M,14,"Minor injury, shark latched onto his abdomen",No Fatal,Afternoon
Sep,2007,Unprovoked,USA,Others,F,58,Puncture wounds & 2-inch laceration to calf,No Fatal,Morning
Sep,2007,Unprovoked,USA,Others,F,36,Laceration to right big toe,No Fatal,Afternoon
Sep,2007,Unprovoked,USA,Others,M,15,Lacerations to left calf and both feet ,No Fatal,Evening
Sep,2007,Unprovoked,USA,Others,F,12,Tiny punctures to arm,No Fatal,Morning
Sep,2007,Unprovoked,USA,Swimming,M,58,"3"" laceration to left forearm",No Fatal,Morning
Aug,2007,Unprovoked,USA,Others,M,15,Laceration to right heel,No Fatal,Afternoon
Aug,2007,Unprovoked,USA,Surfing,M,24,Lacerations to thigh & torso,No Fatal,Morning
Aug,2007,Unprovoked,USA,Surfing,M,54,Left hand  bitten,No Fatal,Afternoon
Aug,2007,Unprovoked,USA,Surfing,M,27, 6 lacerations to left hand,No Fatal,Morning
Aug,2007,Provoked,USA,Fishing,M,0,Forearm bitten by hooked shark PROVOKED INCIDENT,No Fatal,Evening
Aug,2007,Unprovoked,USA,Swimming,M,52,Torso bitten,No Fatal,Evening
Aug,2007,Unprovoked,USA,Surfing,M,16,Foot bitten,No Fatal,Afternoon
Aug,2007,Unprovoked,USA,Others,M,0,Right calf bitten,No Fatal,Morning
Aug,2007,Unprovoked,USA,Others,M,20,Puncture wounds to torso,No Fatal,Night
Aug,2007,Unprovoked,USA,Swimming,F,15,"Minor injury, small lacerations to right foot",No Fatal,Afternoon
Aug,2007,Unprovoked,USA,Others,M,19,"Minor injury, lacerations to left ankle & foot ",No Fatal,Evening
Aug,2007,Unprovoked,USA,Swimming,M,30,Lacerations to right foot,No Fatal,Afternoon
Aug,2007,Unprovoked,USA,Others,M,0,Lacerations to lower leg & ankle,No Fatal,Afternoon
Aug,2007,Unprovoked,USA,,F,19,Lacerations to arm,No Fatal,Afternoon
Jul,2007,Unprovoked,USA,Surfing,M,51,Minor injury to shoulder,No Fatal,Afternoon
Jul,2007,Unprovoked,USA,Surfing,M,20,"No injury, shark bit surfboard",No Fatal,Evening
Jul,2007,Unprovoked,USA,Fishing,M,0,"No injury, kayak bitten",No Fatal,Morning
Jul,2007,Unprovoked,USA,Others,M,36,Left calf severely bitten,No Fatal,Afternoon
Jul,2007,Unprovoked,AUSTRALIA,Others,M,15,Calf bitten,No Fatal,Morning
Jul,2007,Unprovoked,USA,Swimming,M,14,Right calf bitten,No Fatal,Afternoon
Jul,2007,Provoked,NORWAY,Others,M,48,PROVOKED INCIDENT           No injury. Diver touched 'dead' shark; shark bit his equipment-covered arm,No Fatal,Evening
Jul,2007,Unprovoked,USA,Swimming,F,43,Foot injured. Shark involvment uncomfirmed,No Fatal,Morning
Jul,2007,Unprovoked,USA,Others,F,30,Lacerations to right thigh & left foot,No Fatal,Afternoon
Jul,2007,Unprovoked,BAHAMAS,Spearfishing,F,48,"Lacerations to thumb, ring and pinky fingers of right hand ",No Fatal,Morning
Jul,2007,Unprovoked,USA,Surfing,M,18,Right foot bitten,No Fatal,Afternoon
Jul,2007,Unprovoked,REUNION,Others,M,17,Minor injuries to thigh & knee ,No Fatal,Afternoon
Jun,2007,Unprovoked,USA,Surfing,M,20,6 to 8 puncture wounds to right hand,No Fatal,Afternoon
Jun,2007,Unprovoked,USA,Surfing,M,0,"No injury, board damaged",No Fatal,Morning
Jun,2007,Unprovoked,USA,Surfing,F,0,Superficial injuries to upper leg may have been caused by surfboard fin,No Fatal,Afternoon
Jun,2007,Unprovoked,USA,Swimming,F,0,Right foot bitten,No Fatal,Morning
Apr,2007,Unprovoked,AUSTRALIA,Swimming,F,13,Lower leg & foot injured,No Fatal,Evening
Apr,2007,Unprovoked,USA,Others,M,12,Left foot bitten,No Fatal,Afternoon
Apr,2007,Unprovoked,USA,Surfing,M,24,Lacerations to left index finger & thumb ,No Fatal,Afternoon
Apr,2007,Unprovoked,NEW CALEDONIA,Surfing,M,26,Left foot bitten,No Fatal,Afternoon
Apr,2007,Unprovoked,USA,Others,M,0,Lacerations & puncture wounds to right calf,No Fatal,Afternoon
Feb,2007,Unprovoked,AUSTRALIA,Others,M,26,Lacerations to  lower left leg & ankle ,No Fatal,Morning
Jan,2007,Unprovoked,NEW CALEDONIA,Spearfishing,M,30,Leg bitten,No Fatal,Afternoon
Jan,2007,Unprovoked,AUSTRALIA,Diving,M,41,Head & torso bitten,No Fatal,Morning
Jan,2007,Unprovoked,SOUTH AFRICA,Swimming,M,24,"Presumed FATAL, body not recovered",Fatal,Afternoon
Jan,2007,Unprovoked,AUSTRALIA,Surfing,M,0,"No injury, shark damaged surfboard",No Fatal,Evening
Jan,2007,Unprovoked,USA,Surfing,M,54,No injury,No Fatal,Afternoon
Jan,2007,Unprovoked,USA,Surfing,M,24,"No injury, shark removed piece of surfboard",No Fatal,Morning
Dec,2006,Unprovoked,AUSTRALIA,Surfing,M,25,Left leg bitten,No Fatal,Evening
Dec,2006,Unprovoked,NEW ZEALAND,Surfing,M,10,Foot bitten,No Fatal,Morning
Dec,2006,Unprovoked,USA,Surfing,M,43,"Minor injuries, surfboard bitten",No Fatal,Morning
Dec,2006,Provoked,SOUTH AFRICA,Fishing,M,25,"Hand, thigh & calf bitten by hooked shark PROVOKED INCIDENT",No Fatal,Evening
Dec,2006,Unprovoked,AUSTRALIA,Others,M,15,"Right leg severed, left leg lacerated",No Fatal,Morning
Nov,2006,Unprovoked,USA,Swimming,M,29,Laceration to left thigh & left hand,No Fatal,Afternoon
Nov,2006,Provoked,SOUTH AFRICA,Others,M,0,Left arm lacerated when he grabbed shark by its tail PROVOKED INCIDENT,No Fatal,Afternoon
Oct,2006,Unprovoked,USA,Surfing,M,22,"No injury, surfboard bitten",No Fatal,Evening
Oct,2006,Unprovoked,USA,Surfing,M,20,Left ankle bitten,No Fatal,Morning
Oct,2006,Unprovoked,USA,Others,M,18,Lacerations to foot,No Fatal,Afternoon
Sep,2006,Unprovoked,USA,Surfing,M,16,Laceration to left thigh,No Fatal,Morning
Sep,2006,Unprovoked,USA,Swimming,M,55,Minor injury to left hand,No Fatal,Afternoon
Sep,2006,Unprovoked,USA,Surfing,M,52,Left torso grazed,No Fatal,Evening
Sep,2006,Unprovoked,AUSTRALIA,Diving,M,44,"Killed by a stingray, not a shark - a tragedy for his family and marine wildlife",No Fatal,Morning
Sep,2006,Unprovoked,USA,Others,M,33,Puncture wounds and cuts to right thigh,No Fatal,Afternoon
Sep,2006,Unprovoked,USA,Swimming,M,12,Arm bitten,No Fatal,Afternoon
Sep,2006,Unprovoked,SOUTH AFRICA,Surfing,M,37,"No injury, shark rammed surfboard",No Fatal,Evening
Aug,2006,Unprovoked,USA,Surfing,M,23,Laceration & puncture wounds to foot,No Fatal,Evening
Aug,2006,Unprovoked,AUSTRALIA,Surfing,M,0,"No injury, shark towed  surfer & board",No Fatal,Afternoon
Aug,2006,Unprovoked,REUNION,Others,M,27,Laceration to right calf & heel,No Fatal,Evening
Aug,2006,Unprovoked,REUNION,Surfing,M,34,FATAL,Fatal,Morning
Aug,2006,Unprovoked,SOUTH AFRICA,Others,M,24,Foot severed,No Fatal,Morning
Aug,2006,Unprovoked,USA,Others,F,59,Lacerations & punctures to left foot,No Fatal,Afternoon
Jul,2006,Unprovoked,USA,Surfing,M,41,Minor injury,No Fatal,Afternoon
Jul,2006,Unprovoked,USA,Others,M,0,"Bruises, laceration to head, spinal cord injury & neck broken at C5/C6 ",No Fatal,Afternoon
Jul,2006,Unprovoked,SOUTH AFRICA,Others,M,19,"No injury, surf ski bitten",No Fatal,Afternoon
Jul,2006,Unprovoked,USA,Surfing,M,14,Minor lacerations to right foot,No Fatal,Afternoon
Jul,2006,Unprovoked,USA,Others,M,49,Left ankle & foot bitten,No Fatal,Morning
Jul,2006,Unprovoked,USA,Swimming,F,21,Ankle & foot bitten,No Fatal,Afternoon
Jul,2006,Unprovoked,USA,Others,M,40,Dorsum of left foot bitten,No Fatal,Afternoon
Jul,2006,Unprovoked,USA,Others,M,11,Lower leg & ankle bitten,No Fatal,Afternoon
Jul,2006,Unprovoked,USA,Others,F,14,Foot bitten,No Fatal,Morning
Jul,2006,Unprovoked,USA,Swimming,M,13,Right calf bitten,No Fatal,Afternoon
Jun,2006,Unprovoked,USA,Others,F,0,Right calf bitten,No Fatal,Morning
Jun,2006,Unprovoked,BAHAMAS,Spearfishing,M,25,Right arm severely bitten,No Fatal,Afternoon
Jun,2006,Unprovoked,USA,Surfing,F,22,2-inch puncture wounds on right foot,No Fatal,Afternoon
Jun,2006,Unprovoked,BRAZIL,Others,M,27,Left thigh bitten FATAL,Fatal,Morning
Jun,2006,Unprovoked,USA,Others,M,43,"No injury, shark bit scuba tank boot",No Fatal,Morning
Jun,2006,Unprovoked,USA,Surfing,M,24,Four 1-inch puncture wounds on left foot ,No Fatal,Afternoon
Jun,2006,Unprovoked,USA,Others,F,0,Lacerations & puncture wounds to left foot & buttocks,No Fatal,Afternoon
Jun,2006,Unprovoked,AUSTRALIA,Surfing,M,40,"No injury, knocked off surfboard",No Fatal,Morning
Apr,2006,Unprovoked,USA,Others,F,13,3 tiny punctures & small lacerations on right ankle,No Fatal,Afternoon
Apr,2006,Provoked,USA,Fishing,M,35,3 to 4 cm laceration on foot from hooked shark brought on board PROVOKED INCIDENT,No Fatal,Afternoon
Apr,2006,Unprovoked,AUSTRALIA,Surfing,M,15,Minor laceration to left foot,No Fatal,Afternoon
Apr,2006,Unprovoked,SOUTH AFRICA,Others,M,15,Leg bitten,No Fatal,Afternoon
Apr,2006,Unprovoked,BRAZIL,Swimming,M,35,Left leg bitten,No Fatal,Afternoon
Apr,2006,Unprovoked,USA,Others,M,11,Minor injury to right hand & thigh,No Fatal,Afternoon
Feb,2006,Unprovoked,USA,Others,F,15,Deep laceration to right calf,No Fatal,Afternoon
Feb,2006,Unprovoked,USA,Others,M,45,Forensic examination suggested diver drowned & afterwards his body was bitten by a shark/s,No Fatal,Afternoon
Feb,2006,Unprovoked,AUSTRALIA,Others,M,18,Lacerations to foot,No Fatal,Morning
Feb,2006,Unprovoked,AUSTRALIA,Fishing,M,0,No injury to occupants; shark nudged the 5.3 m boat,No Fatal,Afternoon
Feb,2006,Unprovoked,SOUTH AFRICA,Surfing,M,15,2 bite marks on right calf,No Fatal,Afternoon
Feb,2006,Unprovoked,TONGA,Swimming,F,24,Severe bite to right leg FATAL,Fatal,Evening
Feb,2006,Unprovoked,USA,Others,M,57,No injury to occupant; shark bumped the kayak repeatedly for 15 minutes,No Fatal,Afternoon
Jan,2006,Unprovoked,SOUTH AFRICA,Spearfishing,M,34,Right arm  bitten,No Fatal,Afternoon
Jan,2006,Unprovoked,AUSTRALIA,Others,M,52,Lacerations to left elbow,No Fatal,Morning
Jan,2006,Unprovoked,AUSTRALIA,Swimming,F,21,FATAL,Fatal,Afternoon
Jan,2006,Unprovoked,USA,Surfing,M,21,3 puncture wounds in right wrist & hand,No Fatal,Afternoon
Jan,2006,Unprovoked,SOUTH AFRICA,Diving,M,49,Lacerations to little finger,No Fatal,Evening
Dec,2005,Unprovoked,USA,Surfing,M,30,Lacerations to ankle & calf,No Fatal,Afternoon
Dec,2005,Unprovoked,USA,Swimming,M,29,Left hand bitten,No Fatal,Morning
Dec,2005,Unprovoked,AUSTRALIA,Spearfishing,M,44,Right forearm & elbow bitten,No Fatal,Morning
Nov,2005,Unprovoked,USA,Surfing,M,23,Right thumb & palm lacerated,No Fatal,Afternoon
Nov,2005,Unprovoked,AUSTRALIA,Surfing,M,18,"2 lacerations on leg, each 4"" to 5"" long",No Fatal,Evening
Nov,2005,Unprovoked,SOUTH AFRICA,Surfing,M,26,"Cut on finger, board bitten",No Fatal,Morning
Nov,2005,Unprovoked,USA,Surfing,M,30,Left foot bitten,No Fatal,Afternoon
Nov,2005,Unprovoked,USA,Surfing,M,17,Lacerations to right thigh,No Fatal,Afternoon
Nov,2005,Provoked,SOUTH AFRICA,Fishing,M,32,Lacerations to hands & right leg when he tried to pull shark from the water PROVOKED INCIDENT,No Fatal,Afternoon
Nov,2005,Unprovoked,USA,Surfing,M,18,Puncture wounds to right foot,No Fatal,Afternoon
Nov,2005,Unprovoked,USA,Surfing,M,25,"No injury, board bitten",No Fatal,Afternoon
Nov,2005,Unprovoked,USA,Surfing,M,26,"No injury, board bumped",No Fatal,Morning
Oct,2005,Unprovoked,USA,Others,M,15,Puncture wounds to foot,No Fatal,Evening
Oct,2005,Unprovoked,unknown,Others,M,55,Lower right leg lacerated,No Fatal,Morning
Oct,2005,Unprovoked,SOUTH AFRICA,Others,M,20,Right foot bitten,No Fatal,Morning
Oct,2005,Unprovoked,USA,Surfing,M,36,No injury,No Fatal,Morning
Oct,2005,Unprovoked,USA,Surfing,F,20,Leg bitten,No Fatal,Morning
Oct,2005,Provoked,USA,Others,M,15,Minor cuts to dorsum & sole of left foot when he stepped on shark PROVOKED INCIDENT,No Fatal,Afternoon
Oct,2005,Unprovoked,USA,Surfing,M,22,"No injury, surfboard bitten",No Fatal,Evening
Oct,2005,Unprovoked,unknown,Others,F,57,No injury ,No Fatal,Afternoon
Oct,2005,Unprovoked,USA,Others,M,48,Five 1-inch lacerations to left foot,No Fatal,Afternoon
Oct,2005,Unprovoked,SOUTH AFRICA,Others,M,52,"No injury, shark bit ski",No Fatal,Afternoon
Sep,2005,Unprovoked,AUSTRALIA,Surfing,M,26,Lacerations to legs,No Fatal,Afternoon
Sep,2005,Unprovoked,AUSTRALIA,Surfing,M,44, No injury,No Fatal,Morning
