date,year,type,country,area,activity,sex,age,injury,fatal,time
Feb,2010,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,46,"Minor injury, lacerations to left lower leg",N,08h00
Feb,2010,Unprovoked,AUSTRALIA,New South Wales,Body boarding,M,18,"No injury, shark & board collided",N,15h30
Feb,2010,Provoked,USA,Florida,Surf fishing / wading,M,0,Leg bitten while trying to free a hooked shark PROVOKED INCIDENT,N,15h00
Feb,2010,Unprovoked,GUAM,Merizo,Spearfishing (free diving),M,31,Shark bites were post-mortem,,11h00
Feb,2010,Unprovoked,USA,Florida,Kite Boarding,M,38,FATAL,Y,15h44
Feb,2010,Provoked,NEW ZEALAND,South Island,Boogie Boarding,F,14,Stepped on shark PROVOKED INCIDENT,N,18h30
Jan,2010,Unprovoked,BRAZIL,Rio Grande Do Sul,Surfing,M,29,Foot bitten,N,
Jan,2010,Unprovoked,unknown,Dubai,Surfing,M,54,Laceration to bottom of foot,N,Evening
Jan,2010,Unprovoked,SOUTH AFRICA,Western Province,Standing,M,37,FATAL,Y,15h15
Jan,2010,Unprovoked,AUSTRALIA,Torres Strait,Snorkeling,F,0,2 sets of minor lacerations below her right knee,N,
Jan,2010,Unprovoked,USA,Florida,Spearfishing,M,32,Lacerations to  arm,N,10h15
Dec,2009,Unprovoked,SOUTH AFRICA,Eastern Cape  Province,Wading,M,20,Lacerations to  left foot,N,08h30
Dec,2009,Provoked,AUSTRALIA,New South Wales,Swimming,M,55,Lacerations to lower left leg after stepping on the shark                 PROVOKED INCIDENT,N,11h00
Dec,2009,Unprovoked,MOZAMBIQUE,Maputo Province,Swimming,M,27,Multiple lacerations to right torso & arm. Defense wounds on  hands,N,16h30
Dec,2009,Unprovoked,AUSTRALIA,Queensland,Spearfishing,M,18,Lacerations to hand & forearm,N,07h30
Dec,2009,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Paddling on kneeboard,M,22,FATAL,Y,14h30
Dec,2009,Unprovoked,NEW ZEALAND,South Island,Swimming to shore from capsized kayak,M,24,FATAL,Y,
Dec,2009,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,39,Laceration to big toe,N,07h00
Dec,2009,Provoked,USA,New Jersey,Diving,M,58,Lacerations & puncture wounds to right calf & ankle when diver accidentally backed into the shark  PROVOKED INCIDENT,N,13h00
Nov,2009,Unprovoked,USA,California,Surfing,M,49,Puncture wounds to right foot,,15h30
Nov,2009,Unprovoked,USA,Florida,Wading,M,10,Left foot bitten,N,Morning
Nov,2009,Unprovoked,USA,California,Fishing,M,31,Puncture wounds and minor lacerations to dorsal surface of his left hand,N,16h45
Nov,2009,Unprovoked,USA,Florida,Surfing,M,22,Foot bitten,N,09h30
Nov,2009,Unprovoked,USA,Florida,Surfing,F,27,Foot bitten,N,16h30
Nov,2009,Unprovoked,USA,Florida,Surfing,M,18,Foot bitten,N,Afternoon
Nov,2009,Unprovoked,AUSTRALIA,South Australia,Kayaking,M,25,Ankle bitten,N,10h30
Nov,2009,Unprovoked,USA,California,Surfing,M,21,"No injury, board broken in half",N,Dusk
Oct,2009,Unprovoked,AUSTRALIA,Victoria,Kayaking,M,27,"No injury, shark bit kayak",N,Morning
Oct,2009,Unprovoked,AUSTRALIA,New South Wales,Paddle-boarding,F,17,"No injury, shark bit rear of paddleboard",N,07h00
Oct,2009,Unprovoked,USA,Hawaii,Surfing,M,54,Bitten on upper right thigh & right ankle,N,06h00
Oct,2009,Unprovoked,PANAMA,Bocas,Wading,F,10,Arm & torso bitten,N,18h30
Oct,2009,Provoked,unknown,Fife,Diving,M,23,15-20 puncture wounds to arm by captive shark  PROVOKED INCIDENT ,N,14h45
Oct,2009,Provoked,UNITED KINGDOM,Devon,Fishing,M,39,Injury to forearm from shark's spine PROVOKED INCIDENT ,N,12h50
Sep,2009,Unprovoked,USA,Florida,Swimming,M,0,Laceration to right foot,N,17h30
Sep,2009,Unprovoked,USA,North Carolina,Swimming,M,60,FATAL,Y,21h00
Sep,2009,Unprovoked,BRAZIL,Pernambuco,"Swimming, attempting to rescue a girl  believed to be drowning",M,15,FATAL,Y,Afternoon
Aug,2009,Unprovoked,USA,California,Surfing,M,0,No injury,N,18h30
Aug,2009,Unprovoked,SOUTH AFRICA,Western Cape Province,Surfing,M,25,FATAL,Y,15h30
Aug,2009,Unprovoked,USA,California,Swimming,F,22,Puncture wounds to left foot & calf,N,16h30
Aug,2009,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Body boarding,M,0,"No injury, shark bit bodyboard",N,Lunchtime
Aug,2009,Unprovoked,USA,Florida,Swimming,M,26,Puncture marks on left foot,N,19h00
Aug,2009,Unprovoked,USA,Hawaii,Surfing,M,0,"No injury, surfboard bitten",N,08h45
Aug,2009,Unprovoked,USA,Louisiana,Wade Fishing,M,56,Right ankle & foot bitten,N,10h00
Jul,2009,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,14,Left forearm grazed & puncture marks in wetsuit,N,06h15
Jul,2009,Unprovoked,unknown,Binh Dinh Province,Swimming,F,41,Foot bitten,N,17h30
Jul,2009,Unprovoked,USA,Texas,Wading,F,14,Lacerations to anterior left lower leg,N,Afternoon
Jul,2009,Unprovoked,SPAIN,Catalunya,Swimming,F,11,Laceration to left foot,,10h15
Jul,2009,Unprovoked,USA,North Carolina,Swimming,F,26,Laceration to left foot,N,15h00
Jul,2009,Unprovoked,USA,Florida,Swimming,F,19,Laceration to lower right leg,N,15h00
Jul,2009,Unprovoked,USA,California,Paddle-surfing,M,0,"No injury, shark collided with surfer & board",N,08h30
Jul,2009,Unprovoked,SOUTH AFRICA,Western Cape Province,Surfing,M,37,Leg bitten,N,11h15
Jul,2009,Unprovoked,USA,Florida,Boogie Boarding,F,12,Right ankle bitten,N,16h00
Jul,2009,Provoked,USA,Florida,Swimming,F,43,Thigh injured by hooked shark PROVOKED INCIDENT,N,15j45
Jun,2009,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,52,2-inch laceration to upper left arm,N,08h45
Jun,2009,Unprovoked,USA,Florida,Crawling,M,14,2-inch laceration to upper left arm,,17h30
Jun,2009,Unprovoked,EGYPT,St. Johns Reef,Snorkeling,F,50,FATAL,Y,Morning
Apr,2009,Unprovoked,USA,Florida,Surfing,M,20,3 puncture wounds to posterior right ankle,N,Late afternoon
Apr,2009,Unprovoked,PHILIPPINES,Batangas province,Swimming,M,23,Legs bitten,N,0500
Apr,2009,Unprovoked,USA,Florida,Surfing,M,52,Left foot bitten,N,16h00
Apr,2009,Unprovoked,USA,Florida,Surfing,M,31,Laceration to forearm,N,13h15
Apr,2009,Unprovoked,AUSTRALIA,New South Wales,Surf skiing ,M,40,"No injury, catapulted into the water & ski damage",N,08h00
Apr,2009,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Swimming,M,24,Body not recovered,,Morning
Apr,2009,Unprovoked,USA,California,Spearfishing,M,0,Shark struck him but the diver was not injured,N,07h45
Apr,2009,Unprovoked,USA,Florida,Wading,M,15,Lacerations to right foot and ankle,N,16h00
Feb,2009,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,33,Severe injury to hand ,N,19h30
Feb,2009,Unprovoked,AUSTRALIA,New South Wales,"Diving, but on the surface when bitten by the shark",M,31,Severe injuries to right hand & right thigh. Right hand  surgically amputated & his right leg a week later,N,Before 07h00
Feb,2009,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,41,"No injury, surfboard dented",N,11h00
Jan,2009,Unprovoked,CUBA,Guantanamo Province,Spearfishing,M,15,Severe lacerations to lower left leg,N,10h30
Jan,2009,Unprovoked,AUSTRALIA,New South Wales,Swimming,M,19,Hand injured,N,16h30
Jan,2009,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Swimming,M,25,FATAL,Y,14h00
Jan,2009,Unprovoked,AUSTRALIA,Victoria,Fishing,M,0,"No injury to occupants, shark bit propeller",N,09h20
Jan,2009,Unprovoked,AUSTRALIA,New South Wales,Snorkeling,M,24,Puncture wounds to right calf,N,10h45
Jan,2009,Unprovoked,AUSTRALIA,Tasmania,Surfing,F,13,Severe lacerations to right leg,N,15h45
Jan,2009,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,31,Left thigh severely bitten,N,09h00
Jan,2009,Unprovoked,NEW ZEALAND,North Island,Swimming,M,49,Posterior thigh bitten,N,17h30
Dec,2008,Unprovoked,AUSTRALIA,New South Wales,Kayaking,M,29,"No injury, shark struck kayak, catapulting him into the water",N,11h00
Dec,2008,Unprovoked,AUSTRALIA,Western Australia,Snorkeling,M,51,FATAL,Y,07h00
Dec,2008,Unprovoked,USA,California,Kayaking,M,0,"No injury, shark struck paddle",N,15h00
Dec,2008,Provoked,SOUTH AFRICA,Western Cape Province,Fishing,M,15,"Lacerations to knees, thigh and hip by hooked shark PROVOKED iNCIDENT  ",N,20h00
Nov,2008,Unprovoked,EGYPT,Red Sea,Scuba diving,F,0,Lacerations to fingers,N,Morning
Nov,2008,Unprovoked,PHILIPPINES,Luzon,Fishing,M,39,Torso & righ arm bitten FATAL,Y,10h00 -- 11h00
Oct,2008,Provoked,AUSTRALIA,New South Wales,Scuba diving,M,34,Small laceration to head from captive shark,N,17h20
Oct,2008,Unprovoked,NEW CALEDONIA,,Spearfishing,M,24,Legs bitten,N,11h00
Oct,2008,Provoked,AUSTRALIA,Northern Territory,Fishing,M,50,Right leg injured by hook and hooked shark PROVOKED INCIDENT,N,
Oct,2008,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,15,"No injury, board damaged",N,15h30
Oct,2008,Unprovoked,USA,Florida,Fishing,M,11,Lacerations,N,12h00
Oct,2008,Unprovoked,CROATIA," Split-Dalmatia Count,",Spearfishing,M,43,Calf bitten,N,12h00
Sep,2008,Unprovoked,USA,Florida,Surfing,M,44,Small puncture wounds to the heel of left foot,N,11h45
Sep,2008,Unprovoked,USA,Florida,Surfing,M,40,Right foot bitten,N,11h00
Sep,2008,Provoked,AUSTRALIA,Northern Territory,Swimming,M,43,Right hand lacerated by netted shark PROVOKED INCIDENT,N,14h30
Sep,2008,Unprovoked,USA,Florida,Swimming,M,32,Lacerations to foot,N,12h00
Sep,2008,Unprovoked,USA,Hawaii,Surfing,M,40,Bitten on right thigh & calf,N,16h30
Sep,2008,Unprovoked,USA,California,Surfing,M,0,"No injury to surfer, board bitten",N,10h30
Sep,2008,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,51,Shark became tangled in his surfboard leash. The surfer was not injured,N,12h00
Sep,2008,Unprovoked,USA,Florida,Surfing,M,43,Minor injury to foot,N,12h00
Sep,2008,Unprovoked,USA,Florida,Surfing,M,15,Minor injury to foot,N,12h00
Sep,2008,Unprovoked,USA,Florida,Surfing,M,52,Shark bumped right ankle,N,10h00
Aug,2008,Unprovoked,USA,Hawaii,Swimming,M,27,Death was probably due to drowning,,19h20
Aug,2008,Provoked,unknown,North Devon,Fishing,M,52,Wrist bitten by hooked shark PROVOKED INCIDENT,N,
Aug,2008,Unprovoked,USA,Florida,Surfing,M,19,Superfical cut to left ankle,N,12h00
Aug,2008,Unprovoked,USA,Florida,Surfing,M,26,Lacerations to lower left leg,N,11h00
Aug,2008,Unprovoked,USA,Florida,"Swimming, towing surfboard",M,20,Minor injury to left foot,N,15h00
Aug,2008,Unprovoked,USA,North Carolina,Surfing,F,20,Calf bitten,,18h00
Aug,2008,Unprovoked,USA,Florida,Swimming,M,47,3 lacerations to forearm,N,14h45
Aug,2008,Unprovoked,USA,US Virgin Islands,Treading water,F,38,Severe lacerations to left foot,N,Dusk
Aug,2008,Unprovoked,USA,Florida,Wading,F,13,Puncture wounds & 3-inch laceration to right calf,N,12h05
Aug,2008,Unprovoked,USA,Hawaii,Diving,M,0,"No injury, shark grabbed his bag of fish",N,14h00
Jul,2008,Unprovoked,AUSTRALIA,Victoria,Surfing,M,31,"No injury, surfboard leash severed",N,10h30
Jul,2008,Unprovoked,PANAMA,San Carlos,Swimming or surfing,M,0,5 lacerations to left foot,N,18h00
Jul,2008,Unprovoked,MEXICO,Cabo San Lucas,Swimming,M,33,3 puncture wounds to toe,N,
Jul,2008,Unprovoked,USA,Hawaii,Swimming,M,0,Minor injury,N,15h30
Jul,2008,Unprovoked,USA,Florida,Surfing,M,17,Right foot bitten,N,09h00
Jul,2008,Unprovoked,USA,Hawaii,Snorkeling,F,44,Forearm bitten ,N,08h45
Jul,2008,Unprovoked,USA,North Carolina,Wading,M,0,Minor lacerations to  toe,N,
Jul,2008,Unprovoked,USA,North Carolina,Wading,F,0,Lacerations to dorsum of right foot ,N,13h00
Jul,2008,Provoked,USA,Florida,Surfing,M,15,Foot bitten after he stepped on the shark PROVOKED INCIDENT,N,14h30
Jul,2008,Unprovoked,USA,Florida,Wading,M,16,Lacerations to lower left leg,N,13h55
Jul,2008,Unprovoked,USA,South Carolina,Surfing,M,24,Laceration to foream,N,14h00
Jul,2008,Unprovoked,USA,North Carolina,Swimming,F,14,Lacerations to  right foot,N,19h30
Jun,2008,Unprovoked,USA,Hawaii,Wading,M,53,Probable drowning with post-mortem bites,,Afternoon
Jun,2008,Unprovoked,BAHAMAS,Abaco Islands,Spearfishing,M,42,Lacerations to calf,N,11h00
Jun,2008,Unprovoked,SOUTH AFRICA,Western Cape Province,Surf skiing ,M,46,"No injury, ski bitten",N,14h00
Jun,2008,Unprovoked,USA,Florida,Surfing,M,29,Minor laceration to foot,N,Afternoon
Jun,2008,Unprovoked,USA,South Carolina,Swimming,M,37,Lacerations to hand,N,11h15
Jun,2008,Unprovoked,USA,California,Kayaking,F,40," No injury. Shark bumped kayak, flinging her into the  water. ",N,09h00
Jun,2008,Unprovoked,USA,Florida,Wading,F,35,Lacerations to lower right calf,N,11h10
Jun,2008,Unprovoked,USA,South Carolina,Body surfing,F,15,Foot bitten,N,18h30
Jun,2008,Unprovoked,BRAZIL,Pernambuco,Swimming,M,14,"Hand severed, buttocks bitten",N,15h00
Apr,2008,Unprovoked,MEXICO,Guerro,Surfing,M,24,FATAL    Severe bite to right thigh,Y,Afternoon
Apr,2008,Unprovoked,USA,Florida,Surfing,M,18,3-inch laceration to dorsal surface of left foot,N,11h45
Apr,2008,Unprovoked,USA,Florida,Surfing,M,24,Calf bitten,N,10h30
Apr,2008,Unprovoked,NEW CALEDONIA,North Province,Swimming,M,32,Lacerations to left foot,N,Morning
Apr,2008,Provoked,USA,Florida,Surfing,M,21,Puncture wounds to right foot                  PROVOKED INCIDENT,N,09h50
Apr,2008,Unprovoked,USA,California,Swimming,M,66,FATAL,Y,07h00
Apr,2008,Unprovoked,USA,Florida,Surfing,M,14,Cuts & punctures to right foot,N,08h45
Apr,2008,Unprovoked,MEXICO,Quintana Roo,Swimming,M,32,Probable drowning with post-mortem bites,,Evening
Apr,2008,Unprovoked,AUSTRALIA,Queensland,Surfing,M,19,2 puncture wounds to leg,,11h00
Apr,2008,Unprovoked,USA,Florida,Surfing,M,30,Puncture wounds to right foot,N,15h00
Apr,2008,Unprovoked,AUSTRALIA,New South Wales,Body boarding,M,16,FATAL,Y,08h05
Apr,2008,Unprovoked,USA,Florida,Walking out of the water after surfing,M,18,Right foot & ankle bitten,N,12h00
Feb,2008,Unprovoked,BAHAMAS,Northern Bahamas,Diving,M,49,"Leg bitten, FATAL",Y,10h00
Feb,2008,Unprovoked,USA,Florida,Surfing,M,25,Lacerations to foot,N,17h00
Feb,2008,Unprovoked,AUSTRALIA,New South Wales,Surfing,F,14,Abrasions to elbow; collided with shark,N,
Jan,2008,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Surf-skiing,M,42,"No injury to surf-skiier, shark holed ski",N,
Jan,2008,Provoked,AUSTRALIA,Queensland,Accidentally stood on hooked shark's tail before attempting to gut it ,M,20,Laceration to left knee PROVOKED INCIDENT,N,07h30
Jan,2008,Unprovoked,USA,Florida,Surfing,M,20,Left foot bitten,N,
Dec,2007,Unprovoked,ECUADOR,Galapagos Islands,Surfing,M,24,Lacerations & puncture wounds  to left thigh,N,
Dec,2007,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,31,Severe lacerations to right buttock,N,11h00
Dec,2007,Unprovoked,AUSTRALIA,Queensland,Swimming,M,0,Lacerations to hand,N,
Dec,2007,Unprovoked,AUSTRALIA,New South Wales,Swimming,M,34,Lacerations to left forearm,,20h30
Dec,2007,Unprovoked,USA,Hawaii,Surfing,M,52,"No injury, shark bit surfboard ",N,"""Just before 11h00"""
Dec,2007,Unprovoked,BRAZIL,Pernambuco,Removing fish from a trap,M,28,20 cm injury to left foot,N,
Nov,2007,Provoked,AUSTRALIA,Western Australia,Fishing,M,32,Minor injury to finger by netted shark PROVOKED INCIDENT,N,
Nov,2007,Unprovoked,SOUTH AFRICA,Western Cape Province,Surfing,M,14,Lacerations to feet,N,17h30
Nov,2007,Unprovoked,USA,Florida,Surfing,M,21,Cut to right knee,N,11h115
Nov,2007,Unprovoked,USA,Florida,Surfing,M,42,Lacerations to right leg,N,09h00
Nov,2007,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Surfing,M,37,Lacerations to thigh,N,08h45
Oct,2007,Unprovoked,USA,Hawaii,Floating,M,32,Lacerations to left lower leg,N,15h30
Oct,2007,Unprovoked,AUSTRALIA,New South Wales,Surf-skiing,F,52,small laceration to wrist,N,11h30
Oct,2007,Unprovoked,AUSTRALIA,Queensland,Spearfishing,M,31,Laceration to calf,N,12h00
Oct,2007,Unprovoked,USA,California,Surfing,M,22,4 scratches on left hand,N,20h30
Oct,2007,Unprovoked,USA,Florida,Surfing,M,16,Severe lacerations to right hand,N,08h10
Sep,2007,Unprovoked,NEW CALEDONIA,Loyalty Islands,Swimming,F,23,FATAL,Y,Early morning
Sep,2007,Unprovoked,BAHAMAS,Grand Bahama Island,Spearfishing,F,48,Thigh bitten,N,12h00
Sep,2007,Unprovoked,USA,California,Surfing,F,0,"No injury to surfer, surfboard bitten",N,08h15
Sep,2007,Unprovoked,EGYPT,Red Sea,Swimming,F,18,"Severe lacerations to lower left leg, ankle and foot",N,07h00
Sep,2007,Unprovoked,USA,Florida,Surfing,M,23,Small lacerations to bottom of right big toe,N,18h20
Sep,2007,Unprovoked,SOLOMON ISLANDS,Marovo Lagoon,Spearfishing,M,0,Left thigh bitten,N,Dusk
Sep,2007,Unprovoked,USA,Florida,Wading?,M,56,Laceration to right heel,N,11h15
Sep,2007,Unprovoked,USA,Florida,Surfing,F,0,"No injury, surfboard bitten",N,Early morning
Sep,2007,Unprovoked,USA,Florida,Snorkeling,M,14,"Minor injury, shark latched onto his abdomen",N,16h00
Sep,2007,Unprovoked,USA,Florida,Wading,F,58,Puncture wounds & 2-inch laceration to calf,N,11h45
Sep,2007,Unprovoked,USA,Florida,Wading,F,36,Laceration to right big toe,N,13h42
Sep,2007,Unprovoked,USA,South Carolina,Standing,M,15,Lacerations to left calf and both feet ,N,18h30
Sep,2007,Unprovoked,USA,Florida,Jumping,F,12,Tiny punctures to arm,N,Morning
Sep,2007,Unprovoked,USA,Florida,Swimming,M,58,"3"" laceration to left forearm",N,09h45
Aug,2007,Unprovoked,USA,Hawaii,Body boarding,M,15,Laceration to right heel,N,16h30
Aug,2007,Unprovoked,USA,California,Surfing,M,24,Lacerations to thigh & torso,N,10h45
Aug,2007,Unprovoked,USA,Florida,Surfing,M,54,Left hand  bitten,N,14h00
Aug,2007,Unprovoked,USA,Florida,Surfing,M,27, 6 lacerations to left hand,N,Morning
Aug,2007,Provoked,USA,Delaware,Fishing,M,0,Forearm bitten by hooked shark PROVOKED INCIDENT,N,19h45
Aug,2007,Unprovoked,USA,Florida,Swimming,M,52,Torso bitten,N,20h15
Aug,2007,Unprovoked,USA,Florida,Surfing,M,16,Foot bitten,N,12h39
Aug,2007,Unprovoked,USA,South Carolina,Playing,M,0,Right calf bitten,N,10h00
Aug,2007,Unprovoked,USA,Florida,Floating near boat & observing bioluminesce,M,20,Puncture wounds to torso,N,Night
Aug,2007,Unprovoked,USA,Florida,Swimming,F,15,"Minor injury, small lacerations to right foot",N,17h35
Aug,2007,Unprovoked,USA,Florida,Walking out of the water after surfing,M,19,"Minor injury, lacerations to left ankle & foot ",N,18h00
Aug,2007,Unprovoked,USA,South Carolina,Swimming,M,30,Lacerations to right foot,N,16h40
Aug,2007,Unprovoked,USA,South Carolina,Boogie Boarding,M,0,Lacerations to lower leg & ankle,N,14h00
Aug,2007,Unprovoked,USA,Florida,Jumped into the water,F,19,Lacerations to arm,N,Afternoon
Jul,2007,Unprovoked,USA,Florida,Surfing,M,51,Minor injury to shoulder,N,Afternoon
Jul,2007,Unprovoked,USA,California,Surfing,M,20,"No injury, shark bit surfboard",N,23h00
Jul,2007,Unprovoked,USA,California,Kayak Fishing,M,0,"No injury, kayak bitten",N,10h15
Jul,2007,Unprovoked,USA,Hawaii,Snorkeling,M,36,Left calf severely bitten,N,15h15
Jul,2007,Unprovoked,AUSTRALIA,Territory of Cocos (Keeling) Islands,Wading,M,15,Calf bitten,N,11h00
Jul,2007,Unprovoked,USA,North Carolina,Swimming,M,14,Right calf bitten,N,12h30
Jul,2007,Provoked,NORWAY,Oslo Fjord,Scuba diving,M,48,PROVOKED INCIDENT           No injury. Diver touched 'dead' shark; shark bit his equipment-covered arm,N,
Jul,2007,Unprovoked,USA,California,Swimming,F,43,Foot injured. Shark involvment uncomfirmed,,11h00
Jul,2007,Unprovoked,USA,North Carolina,Wading,F,30,Lacerations to right thigh & left foot,N,13h00
Jul,2007,Unprovoked,BAHAMAS,Abaco Islands,Spearfishing,F,48,"Lacerations to thumb, ring and pinky fingers of right hand ",N,11h00
Jul,2007,Unprovoked,USA,Florida,Surfing,M,18,Right foot bitten,N,16h00
Jul,2007,Unprovoked,REUNION,,Body boarding,M,17,Minor injuries to thigh & knee ,N,14h30
Jun,2007,Unprovoked,USA,Florida,Surfing,M,20,6 to 8 puncture wounds to right hand,N,17h30
Jun,2007,Unprovoked,USA,Hawaii,Surfing,M,0,"No injury, board damaged",N,07h05
Jun,2007,Unprovoked,USA,Florida,Surfing,F,0,Superficial injuries to upper leg may have been caused by surfboard fin,,16h30
Jun,2007,Unprovoked,USA,Florida,Swimming,F,0,Right foot bitten,N,11h00
Apr,2007,Unprovoked,AUSTRALIA,Queensland,Swimming / jumping off a jetty,F,13,Lower leg & foot injured,N,18h00
Apr,2007,Unprovoked,USA,Florida,Body boarding,M,12,Left foot bitten,N,12h30
Apr,2007,Unprovoked,USA,Florida,Surfing,M,24,Lacerations to left index finger & thumb ,N,17h00
Apr,2007,Unprovoked,NEW CALEDONIA,South Province,Surfing,M,26,Left foot bitten,N,16h00
Apr,2007,Unprovoked,USA,Florida,Playing on a sandbar,M,0,Lacerations & puncture wounds to right calf,N,13h05
Feb,2007,Unprovoked,AUSTRALIA,New South Wales,Boogie Boarding,M,26,Lacerations to  lower left leg & ankle ,N,08h00
Jan,2007,Unprovoked,NEW CALEDONIA,North Province,Spearfishing (free diving),M,30,Leg bitten,N,14h00
Jan,2007,Unprovoked,AUSTRALIA,New South Wales,Diving,M,41,Head & torso bitten,N,10h30
Jan,2007,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Swimming / Body Surfing,M,24,"Presumed FATAL, body not recovered",Y,Afternoon
Jan,2007,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,0,"No injury, shark damaged surfboard",N,06h30
Jan,2007,Unprovoked,USA,New York,Surfing,M,54,No injury,,14h00
Jan,2007,Unprovoked,USA,Hawaii,Surfing,M,24,"No injury, shark removed piece of surfboard",N,10h15
Dec,2006,Unprovoked,AUSTRALIA,Victoria,Surfing,M,25,Left leg bitten,N,20h00
Dec,2006,Unprovoked,NEW ZEALAND,North Island,Surfing,M,10,Foot bitten,N,11h00
Dec,2006,Unprovoked,USA,California,Surfing,M,43,"Minor injuries, surfboard bitten",N,11h50
Dec,2006,Provoked,SOUTH AFRICA,KwaZulu-Natal,Fishing,M,25,"Hand, thigh & calf bitten by hooked shark PROVOKED INCIDENT",N,"""Evening"""
Dec,2006,Unprovoked,AUSTRALIA,Western Australia,Body boarding,M,15,"Right leg severed, left leg lacerated",N,07h30
Nov,2006,Unprovoked,USA,Hawaii,Swimming,M,29,Laceration to left thigh & left hand,N,12h30
Nov,2006,Provoked,SOUTH AFRICA,Eastern Cape Province,Canoeing,M,0,Left arm lacerated when he grabbed shark by its tail PROVOKED INCIDENT,N,Afternoon
Oct,2006,Unprovoked,USA,Oregon,Surfing,M,22,"No injury, surfboard bitten",N,Just before sundown
Oct,2006,Unprovoked,USA,Florida,Surfing,M,20,Left ankle bitten,N,11h30
Oct,2006,Unprovoked,USA,Florida,Playing soccer in the water,M,18,Lacerations to foot,N,12h00
Sep,2006,Unprovoked,USA,North Carolina,Surfing,M,16,Laceration to left thigh,N,Morning
Sep,2006,Unprovoked,USA,Florida,Swimming,M,55,Minor injury to left hand,N,14h00
Sep,2006,Unprovoked,USA,Florida,Surfing,M,52,Left torso grazed,N,
Sep,2006,Unprovoked,AUSTRALIA,Queensland,Diving,M,44,"Killed by a stingray, not a shark - a tragedy for his family and marine wildlife",,11h00
Sep,2006,Unprovoked,USA,Florida,Standing,M,33,Puncture wounds and cuts to right thigh,N,17h30
Sep,2006,Unprovoked,USA,Florida,Swimming,M,12,Arm bitten,N,17h55
Sep,2006,Unprovoked,SOUTH AFRICA,Western Cape Province,Surfing,M,37,"No injury, shark rammed surfboard",N,
Aug,2006,Unprovoked,USA,Oregon,Surfing,M,23,Laceration & puncture wounds to foot,N,Sunset
Aug,2006,Unprovoked,AUSTRALIA,South Australia,Surfing,M,0,"No injury, shark towed  surfer & board",N,16h00
Aug,2006,Unprovoked,REUNION,Saint-Gilles-les-Bains,Body boarding,M,27,Laceration to right calf & heel,N,18h00
Aug,2006,Unprovoked,REUNION,Saint-Pierre,Surfing,M,34,FATAL,Y,11h00
Aug,2006,Unprovoked,SOUTH AFRICA,Western Cape Province,Lifesaving drill,M,24,Foot severed,N,11h00
Aug,2006,Unprovoked,USA,North Carolina,Wading,F,59,Lacerations & punctures to left foot,N,12h00
Jul,2006,Unprovoked,USA,Oregon,Surfing,M,41,Minor injury,N,16h00
Jul,2006,Unprovoked,USA,California,Boogie Boarding,M,0,"Bruises, laceration to head, spinal cord injury & neck broken at C5/C6 ",N,Afternoon
Jul,2006,Unprovoked,SOUTH AFRICA,Western Cape Province,Surf-skiing,M,19,"No injury, surf ski bitten",N,16h30
Jul,2006,Unprovoked,USA,Florida,Surfing,M,14,Minor lacerations to right foot,N,13h45
Jul,2006,Unprovoked,USA,South Carolina,Standing,M,49,Left ankle & foot bitten,N,10h00
Jul,2006,Unprovoked,USA,South Carolina,Swimming,F,21,Ankle & foot bitten,N,13h30
Jul,2006,Unprovoked,USA,Florida,Wading,M,40,Dorsum of left foot bitten,N,17h00
Jul,2006,Unprovoked,USA,Florida,Walking,M,11,Lower leg & ankle bitten,N,13h00
Jul,2006,Unprovoked,USA,South Carolina,Body boarding,F,14,Foot bitten,N,11h00
Jul,2006,Unprovoked,USA,Florida,Swimming,M,13,Right calf bitten,N,13h00
Jun,2006,Unprovoked,USA,Florida,Body boarding,F,0,Right calf bitten,N,11h10
Jun,2006,Unprovoked,BAHAMAS,Andros Islands,Spearfishing,M,25,Right arm severely bitten,N,13h00
Jun,2006,Unprovoked,USA,Florida,Surfing,F,22,2-inch puncture wounds on right foot,N,13h00
Jun,2006,Unprovoked,BRAZIL,Pernambuco,Body boarding,M,27,Left thigh bitten FATAL,Y,09h00
Jun,2006,Unprovoked,USA,California,Scuba diving,M,43,"No injury, shark bit scuba tank boot",N,11h10
Jun,2006,Unprovoked,USA,Florida,Surfing,M,24,Four 1-inch puncture wounds on left foot ,N,15h30
Jun,2006,Unprovoked,USA,South Carolina,Playing,F,0,Lacerations & puncture wounds to left foot & buttocks,N,13h45
